"","id1","card1","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a67","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","b6","b7","b10","b13","b16","b19","b22","b25","b28","b31","b33","b35","b37","b39","b41","b43","b45","b47","b50","b53","b56","b59","b60","b61","b62","b63","b65","b66","b68","b69","b70","b72","b73","b74","b76","b77","b79","b81","b82","b84","b85","b86","b87","b88","b89","b90","b91","b92","b93","b96","b98","b99","wave","jew"
"355",357,1,4,2,16,5,4,4,NA,NA,NA,NA,NA,NA,1,4,4,1,NA,NA,NA,NA,1,10,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,NA,4,4,4,4,4,4,4,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,2,1,5,60,3,2,87,NA,12,2,NA,1,2,2,NA,NA,3,2,9,14,1,2,1,1
"356",358,1,5,4,13,4,2,3,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,NA,8,2,9,2,9,5,1,NA,8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,4,4,4,4,4,4,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,NA,3,NA,1,1,1,1,1,1,1,2,2,2,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,3,3,1,NA,1,1,1,2,2,22,1,6,NA,NA,12,1,NA,2,5,4,2,NA,1,2,631,14,1,2,1,1
"357",359,1,4,3,13,3,4,4,NA,NA,NA,NA,NA,NA,2,4,3,1,NA,NA,NA,NA,3,3,7,10,1,10,5,10,1,10,1,1,1,1,1,1,1,1,1,1,4,1,1,5,5,4,5,3,5,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,4,1,2,1,1,4,4,4,3,4,3,2,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,25,34,35,37,30,40,12,25,70,70,10,90,4,2,2,5,12,3,12,4,2,97,4,5,50,3,6,NA,NA,8,NA,5,1,3,1,4,NA,3,2,278,14,1,2,1,1
"358",360,1,5,4,1,4,1,1,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,4,2,6,1,7,2,1,1,3,3,3,5,1,7,5,3,8,5,2,10,4,4,5,4,4,4,4,4,4,3,3,1,2,1,1,2,1,2,1,1,2,1,3,2,2,3,1,1,2,3,1,2,1,4,3,3,2,4,1,4,4,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,32,20,8,3,17,4,7,2,50,70,50,80,1,5,4,3,NA,5,NA,4,4,97,1,2,40,2,11,NA,NA,17,2,1,2,5,5,3,NA,1,2,278,14,1,2,1,1
"359",361,1,5,4,2,3,1,1,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,NA,NA,5,4,9,4,5,2,2,3,6,4,5,5,2,4,5,4,5,6,2,4,2,2,5,4,3,3,3,4,1,3,3,1,1,1,2,1,1,2,1,1,2,1,3,3,2,1,3,1,1,4,3,4,1,4,4,1,2,1,4,4,4,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,34,22,8,6,12,3,4,3,50,70,0,75,1,3,3,2,4,3,NA,1,1,8,1,2,42,1,6,NA,NA,20,1,1,2,6,4,2,NA,1,2,631,14,1,2,1,1
"360",362,1,3,2,1,4,2,2,NA,NA,NA,NA,NA,NA,1,3,2,1,NA,NA,NA,NA,8,4,NA,8,NA,NA,7,NA,NA,NA,1,4,6,4,4,7,4,1,6,9,3,2,5,4,3,NA,2,NA,4,3,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,20,0,80,2,1,3,4,2,2,NA,2,1,1,1,2,32,2,12,NA,NA,12,2,3,4,4,5,2,NA,2,2,631,14,1,2,1,1
"361",363,1,5,3,13,2,1,1,NA,NA,NA,NA,NA,NA,1,3,2,2,NA,NA,NA,NA,5,5,2,5,NA,NA,3,6,7,4,6,2,2,1,NA,NA,NA,NA,NA,NA,3,3,3,2,3,1,NA,3,1,2,3,1,1,1,1,1,4,1,1,3,2,3,1,1,2,1,1,2,NA,4,3,3,3,3,3,3,3,3,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,0,50,60,4,4,3,4,1,NA,1,2,2,1,1,NA,29,NA,14,NA,NA,16,1,NA,1,NA,3,2,NA,1,2,631,14,1,2,1,1
"362",364,1,4,2,13,3,3,3,NA,NA,NA,NA,NA,NA,1,4,3,2,NA,NA,NA,NA,4,10,1,2,8,5,2,5,3,10,1,1,9,8,4,7,6,8,6,8,1,1,1,2,3,4,3,1,2,1,1,2,4,1,4,2,1,2,1,3,2,2,2,1,3,3,1,4,4,2,3,2,3,2,2,4,3,2,1,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,24,15,2,6,12,9,15,6,70,80,2,70,4,3,1,1,1,2,1,2,2,2,1,4,63,3,1,49,NA,11,NA,1,1,3,2,3,NA,2,2,278,14,1,2,1,1
"363",365,1,3,4,13,5,4,4,NA,NA,NA,NA,NA,NA,2,3,4,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,3,4,2,3,2,2,2,2,2,2,2,1,4,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,50,50,9,4,6,4,18,4,100,0,0,70,1,1,1,1,98,3,98,3,2,10,1,4,47,4,12,NA,NA,14,1,5,1,3,6,3,NA,3,2,631,14,1,2,1,1
"364",366,1,5,3,5,4,3,3,NA,NA,NA,NA,NA,NA,2,3,2,1,NA,NA,NA,NA,7,9,3,5,7,5,9,1,5,7,1,6,7,5,7,7,7,5,5,5,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,3,3,2,1,1,3,3,2,1,3,4,2,1,2,2,2,2,2,2,2,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,60,40,50,4,4,2,3,1,1,1,5,5,98,1,4,18,2,12,NA,NA,12,2,3,1,4,5,1,NA,2,2,631,14,1,2,1,1
