"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50","i51","i52","i53","i54","i55","i56","i57","i58","i59","i60","i61","i62","i63","i64","i65","i66","i67","i68","i69","i70","i71","i72","i73","i74","i75","i76","i77","i78","i79","i80","i81","i82","i83","i84","i85","i86","i87","i88","i89","i90","i91","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42"
"610",710,1,2,1,26,1,2,3,3,3,3,4,7,1,1,4,2,1,4,0,2,1,3,2,2,2,1,4,3,3,4,4,4,2,2,1,3,2,4,1,1,7,10,1,1,1,1,1,1,10,1,1,1,1,1,2,3,4,1,1,2,4,4,4,3,1,4,4,10,1,1,2,1,10,1,1,5,1,2,1,5,1,5,2,2,1,1,1,1,2,2,1,2,2,1,1,NA,4,3,3,4,4,4,4,1,4,4,1,5,5,5,5,1,5,5,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,3,3,1,1,4,2,2,3,4,2,4,4,1,1,4,4,1,2,1,2,1,2,1,2,1,2,4,NA,1,2,1,2,1,2,1,3,1,2,3,5,1,4,2,1,4,3,1,3,2,1,1,1,1,2,2,5,27,4,1,4,2,3,6,NA,12,2,3,1,4,1,5,4,1,2,1,2,24,5,6
"611",334,1,3,2,38,1,2,4,4,2,3,1,4,1,1,4,2,2,4,20,2,2,3,1,2,2,1,2,3,3,4,4,3,2,3,4,NA,NA,NA,2,1,5,8,8,1,2,1,2,2,8,1,1,1,1,1,1,1,4,1,1,2,4,4,4,1,4,4,4,10,5,5,1,1,NA,NA,NA,NA,NA,2,1,2,1,2,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,3,4,4,4,4,1,4,4,4,4,1,4,4,3,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1,4,1,1,2,2,2,4,3,3,3,2,3,3,3,1,2,2,3,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,3,4,2,2,NA,5,4,3,1,4,2,1,1,1,4,2,2,5,22,4,2,1,3,4,NA,90,10,NA,2,1,1,2,3,2,2,3,1,2,33,4,30
"612",335,1,4,4,3,2,1,5,5,4,1,7,4,1,NA,1,1,2,2,50,1,4,2,1,3,1,3,2,1,3,4,4,3,2,NA,4,3,1,2,9,10,5,1,5,1,9,1,10,2,1,10,1,8,5,3,3,3,1,1,1,2,4,3,4,2,4,4,3,1,10,10,5,5,4,10,10,1,5,2,2,3,2,3,1,1,2,2,2,2,1,1,2,2,1,1,7,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,5,1,5,1,3,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,1,4,5,2,2,3,2,2,1,1,1,3,3,3,3,1,1,1,2,NA,3,NA,2,NA,3,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,3,4,1,1,3,5,4,4,2,2,1,2,2,2,2,1,2,2,47,NA,1,2,NA,NA,7,NA,12,2,2,1,2,3,4,4,3,3,2,1,5,4,14
"613",336,1,3,3,3,NA,1,3,3,1,1,6,6,3,3,2,2,2,2,77,1,2,1,2,2,2,NA,3,3,3,2,3,3,4,4,3,2,1,4,5,5,4,3,1,5,5,5,4,3,1,5,5,4,3,1,3,3,2,1,1,NA,4,3,3,3,2,3,4,1,9,9,4,4,2,10,8,8,8,2,2,3,3,NA,1,1,2,2,2,2,1,1,1,2,2,2,6,NA,NA,NA,2,2,3,3,4,3,NA,3,3,1,2,NA,3,3,5,3,3,2,1,3,3,1,3,3,2,2,3,1,1,2,2,4,2,1,1,1,1,1,1,2,3,3,1,1,1,2,1,2,1,5,NA,2,1,4,NA,2,1,2,1,2,1,2,1,2,1,4,NA,4,1,3,NA,NA,NA,1,5,4,1,3,NA,99,2,2,2,2,1,2,1,27,2,2,NA,NA,NA,7,NA,12,2,3,1,2,2,3,3,2,3,2,1,3,4,27
"614",337,1,2,4,3,2,1,3,3,1,1,6,6,2,2,2,2,2,2,80,1,2,1,1,2,NA,2,3,3,3,3,NA,3,4,4,3,2,1,4,5,8,3,1,9,1,3,5,9,5,1,8,1,8,1,7,2,2,3,1,1,2,3,2,2,2,1,2,3,1,10,10,5,5,2,10,7,7,7,2,2,3,2,3,1,1,2,2,2,2,1,1,1,2,2,2,5,NA,NA,NA,1,4,4,4,4,3,4,2,2,1,2,5,3,3,5,3,3,2,1,3,3,1,3,3,2,2,3,1,1,2,2,5,NA,1,1,2,2,1,1,1,2,3,3,2,1,1,1,2,1,5,NA,2,1,5,NA,2,1,2,1,2,1,2,1,2,1,5,NA,2,1,3,3,1,1,2,1,2,3,2,2,99,2,2,2,2,1,2,1,61,3,1,4,2,3,5,NA,16,1,3,2,2,1,3,3,2,3,1,2,3,4,24
"615",338,1,3,4,16,NA,1,5,5,4,2,6,3,1,1,2,1,2,2,60,1,4,2,1,2,1,3,2,1,3,3,4,2,2,NA,4,3,2,1,8,9,4,2,4,2,8,2,9,NA,3,9,1,8,1,1,2,2,3,1,1,2,4,3,4,2,4,4,3,1,10,9,1,5,4,10,9,5,1,2,2,4,2,3,1,1,2,2,2,2,1,1,2,2,1,1,6,4,4,4,3,3,3,3,3,3,3,3,2,2,5,5,3,2,3,2,3,NA,1,3,3,1,1,1,2,2,2,1,1,1,4,4,1,2,3,2,3,2,2,2,4,4,4,4,2,2,2,2,NA,3,NA,2,NA,3,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,3,5,2,3,2,3,2,2,2,2,1,2,2,2,2,1,2,2,42,NA,1,2,NA,NA,6,NA,12,2,2,1,2,2,3,4,2,3,2,1,5,4,24
"616",339,1,4,4,3,2,1,5,4,1,1,7,7,1,1,2,2,2,2,75,1,3,1,1,3,1,3,3,3,3,3,4,3,3,3,3,4,1,2,4,7,2,1,10,1,2,4,10,4,1,9,1,7,1,6,2,4,1,2,1,2,1,4,4,4,3,4,1,1,10,10,1,1,1,10,6,6,6,2,2,3,2,3,1,1,2,2,2,2,1,1,2,2,2,2,6,NA,4,4,1,4,4,4,4,3,4,1,1,1,4,5,3,3,5,3,3,2,1,3,2,1,3,3,2,2,1,1,1,1,4,5,2,1,1,4,3,1,1,1,4,1,1,2,1,1,1,2,1,5,NA,2,1,5,NA,2,1,2,1,2,1,2,1,2,1,5,NA,2,1,3,6,1,2,4,1,4,6,2,2,99,2,2,2,2,1,2,2,54,3,1,4,2,3,7,NA,12,NA,3,2,4,1,5,5,3,3,1,1,3,4,14
"617",341,1,3,3,16,1,8,4,2,3,3,1,7,1,1,2,2,2,4,0,2,2,3,1,3,1,2,2,4,1,4,4,3,2,2,4,3,2,1,6,4,5,7,5,1,5,1,3,1,7,6,1,5,1,1,2,2,4,2,1,3,4,4,3,3,3,4,4,8,4,4,5,1,7,7,6,5,4,2,1,5,5,NA,1,2,2,1,1,2,2,2,2,2,2,2,2,NA,3,2,4,4,4,3,3,3,4,4,1,4,2,4,4,3,5,2,3,2,1,3,2,1,1,3,3,1,2,1,1,2,4,4,2,4,4,3,2,2,2,4,2,4,3,3,3,4,4,1,2,4,NA,5,NA,5,NA,1,2,1,2,3,NA,4,NA,4,NA,5,NA,5,NA,3,2,4,2,2,4,3,3,1,4,8,0,1,1,3,5,1,4,31,4,2,1,4,3,3,90,12,NA,4,1,1,2,3,4,2,3,1,2,35,5,2
"618",342,1,3,3,2,4,14,4,1,3,3,1,3,3,1,3,1,1,4,30,2,1,4,1,4,2,2,1,2,2,3,4,1,3,3,1,4,2,3,1,1,8,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,4,NA,4,4,4,2,4,4,4,10,1,1,10,1,1,1,1,2,1,2,5,NA,1,5,1,2,2,1,1,2,2,2,1,2,2,2,3,NA,4,4,4,4,4,4,1,4,4,4,1,5,5,1,2,4,4,4,3,2,1,2,2,1,1,3,2,3,2,1,1,2,1,5,2,4,4,3,4,2,2,2,2,4,4,3,3,4,4,1,2,5,NA,5,NA,5,NA,5,NA,1,NA,5,NA,1,NA,1,NA,5,NA,5,NA,3,4,4,4,4,4,4,4,3,4,14,9,4,1,3,14,1,7,23,3,2,1,3,4,9,NA,12,NA,1,1,3,1,4,4,2,1,1,2,35,5,2
"619",343,1,3,2,16,1,8,4,4,3,3,2,1,1,3,1,2,2,2,35,1,2,3,1,2,2,1,3,3,1,3,4,2,2,2,4,2,3,1,5,7,5,3,3,1,5,1,3,2,8,6,2,5,1,1,2,3,4,1,1,3,3,4,4,2,4,4,4,6,5,5,5,5,5,6,5,5,5,2,1,3,3,1,1,2,2,1,1,2,2,2,2,2,2,2,3,NA,3,2,4,4,4,3,1,4,4,4,1,2,2,3,5,3,2,1,3,2,1,2,2,1,1,3,3,3,2,1,1,2,5,5,2,4,4,3,2,2,2,3,3,4,3,3,3,3,2,1,2,1,2,1,2,5,NA,1,2,4,NA,1,2,1,2,1,2,1,2,5,NA,3,4,2,2,2,2,2,2,1,2,8,1,1,1,1,5,1,4,36,4,3,4,1,2,3,93,12,NA,4,1,2,3,4,5,3,2,1,1,35,5,2
"620",344,1,4,3,32,7,2,4,2,1,3,1,7,7,1,3,3,2,4,0,2,1,4,2,3,2,1,2,2,2,3,4,3,2,3,2,1,3,4,5,1,5,8,1,1,5,1,1,1,7,1,1,5,1,1,2,2,1,2,1,3,4,3,3,4,3,4,4,8,1,5,5,1,5,1,5,5,1,2,1,3,1,3,1,2,2,2,1,1,2,2,2,2,2,2,2,NA,3,3,4,4,4,3,4,3,4,4,4,5,3,3,4,4,5,4,1,2,1,3,2,1,1,3,3,1,2,1,3,3,4,5,2,3,3,4,2,2,2,4,2,4,2,1,2,3,4,1,2,1,2,5,NA,5,NA,1,2,1,2,1,2,5,NA,1,2,1,2,1,2,3,3,4,3,4,5,4,3,1,3,8,1,1,1,NA,2,1,5,25,4,1,4,2,3,3,89,15,1,3,1,2,1,4,4,1,3,1,2,35,5,2
"621",345,1,3,3,2,3,7,4,4,2,2,2,4,4,4,3,3,3,4,35,1,2,3,1,2,1,1,3,3,3,4,4,4,4,4,1,4,2,3,10,6,10,8,5,10,10,1,4,1,8,6,9,6,9,1,2,2,2,2,1,3,4,4,4,4,4,4,4,8,5,10,8,1,8,5,10,8,1,2,3,2,3,1,1,1,2,2,1,2,2,2,2,2,1,1,4,3,NA,2,4,4,4,4,4,4,4,4,1,2,3,4,4,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,3,5,5,1,1,3,2,4,4,3,4,4,4,4,3,1,4,4,3,NA,4,NA,3,1,3,2,3,1,4,NA,3,NA,4,NA,1,2,4,NA,3,NA,3,5,2,3,3,3,3,3,1,3,7,3,1,2,1,2,1,3,49,2,2,1,4,3,3,70,12,2,3,1,2,2,4,5,1,3,3,2,19,4,27
"622",346,1,1,1,98,1,12,1,2,2,3,1,1,4,5,4,4,2,4,15,2,1,4,1,2,2,1,2,3,2,4,4,3,3,3,1,2,3,4,6,5,10,9,5,10,7,1,5,1,10,7,9,6,10,1,2,1,3,1,1,2,4,4,4,4,4,4,4,10,4,6,10,1,10,4,5,10,1,2,1,3,1,3,2,2,1,1,1,1,2,2,1,2,2,2,2,NA,4,4,4,4,4,4,4,4,4,4,2,5,5,4,5,4,5,4,1,1,1,1,1,1,1,1,1,1,2,1,1,4,5,5,1,2,2,1,2,2,3,2,2,4,2,1,1,4,4,1,2,1,2,5,NA,1,2,5,NA,4,NA,1,2,1,NA,1,2,4,NA,5,NA,3,1,4,4,3,5,4,4,1,3,12,1,1,1,1,7,1,6,53,1,2,1,4,3,8,NA,12,2,3,2,NA,5,4,8,3,2,3,1,19,4,28
"623",347,1,1,2,30,7,10,2,2,2,3,1,1,4,5,4,4,3,4,25,2,1,3,1,2,2,1,2,3,2,4,4,3,3,3,1,2,3,4,6,5,10,9,5,10,7,1,4,1,9,7,9,7,10,1,2,1,3,1,1,2,4,4,4,4,4,4,4,10,6,6,10,1,10,7,7,10,1,2,1,3,1,5,1,2,2,2,1,2,2,2,1,2,2,2,2,NA,4,4,4,4,4,4,4,4,4,4,1,5,5,4,5,4,5,4,1,1,1,1,1,1,1,1,1,1,2,1,1,3,5,5,1,2,3,1,2,2,3,2,2,4,2,1,1,4,4,1,2,1,2,5,NA,1,2,5,NA,4,NA,1,2,1,NA,1,2,4,NA,5,NA,3,3,3,4,3,5,4,4,1,3,10,1,1,1,1,7,1,5,47,2,2,1,4,3,4,69,17,1,3,1,2,2,3,6,1,4,NA,2,19,4,27
"624",348,1,2,2,37,1,2,2,3,2,2,1,1,3,5,3,3,2,4,48,2,1,3,2,2,1,1,2,2,3,4,4,4,3,4,1,2,3,4,7,4,8,7,1,9,7,1,3,1,9,6,10,7,8,8,2,1,2,2,1,2,4,4,4,4,4,4,4,8,5,6,8,1,8,5,6,8,1,2,1,3,1,3,1,2,2,1,1,2,2,2,1,2,2,2,3,NA,4,4,4,4,4,4,4,4,4,4,1,4,3,3,3,5,4,4,3,1,1,1,1,1,1,1,1,1,2,1,1,3,4,5,1,2,3,1,2,2,2,2,4,2,2,3,1,4,4,1,2,4,NA,5,NA,5,NA,5,NA,4,NA,1,2,1,2,1,2,4,NA,3,2,3,2,3,3,3,5,4,3,1,4,10,1,1,1,1,7,1,5,33,1,2,1,4,3,6,NA,12,2,3,1,2,2,4,7,3,3,3,1,19,4,27
"625",350,1,2,2,37,1,2,1,2,4,4,2,1,4,4,3,1,1,4,30,2,3,4,1,1,1,2,2,3,1,2,2,2,2,2,1,3,2,4,7,4,8,7,2,9,7,1,3,1,9,6,10,7,8,8,2,1,2,2,1,2,4,4,4,4,4,4,4,8,6,6,7,1,8,6,6,7,1,2,1,3,1,3,1,2,2,1,1,2,2,2,1,2,2,2,3,NA,4,4,4,4,4,4,4,4,4,4,1,4,3,3,3,5,5,5,3,1,1,1,1,1,1,1,1,1,2,1,1,3,4,5,1,2,3,1,2,2,2,2,4,2,2,3,1,4,3,1,2,4,NA,5,NA,5,NA,5,NA,4,NA,4,NA,4,NA,4,NA,4,NA,3,2,3,2,3,3,3,5,4,3,1,4,10,1,1,1,1,7,2,5,43,1,2,1,4,3,6,NA,16,1,3,1,3,2,3,6,1,2,3,2,19,4,27
"626",351,1,4,4,98,2,1,4,3,2,2,3,2,1,4,2,2,2,3,40,1,3,3,1,1,1,1,3,3,3,4,4,4,3,4,1,4,3,2,8,10,6,8,5,9,8,1,10,1,5,10,9,10,8,1,2,3,3,1,1,2,4,4,4,4,4,4,4,6,10,8,6,1,6,10,8,6,1,2,2,3,2,3,1,1,2,2,2,2,1,1,2,2,2,2,6,NA,3,3,4,4,4,4,4,4,4,4,1,3,5,5,4,2,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,5,5,1,2,3,2,1,1,1,4,4,4,1,3,1,1,1,2,1,4,NA,2,1,2,1,2,1,4,NA,4,NA,2,1,2,1,4,NA,3,1,3,5,2,2,2,3,3,2,2,3,1,2,2,2,2,1,2,2,38,3,2,1,4,3,7,NA,12,2,3,1,3,2,3,5,1,3,2,2,19,4,26
"627",355,1,3,2,16,1,10,3,3,3,2,2,2,3,5,3,3,2,4,30,1,2,4,2,2,2,1,3,3,3,4,4,4,3,4,1,2,3,4,7,6,10,9,4,10,7,1,5,1,9,6,8,6,8,1,1,2,3,2,1,2,4,4,4,4,4,4,4,9,6,8,10,1,9,6,8,10,1,2,1,3,1,3,1,2,1,1,1,2,2,2,1,2,2,2,2,NA,3,3,4,4,4,4,4,4,4,4,1,3,4,4,5,3,4,2,3,1,1,3,1,1,1,1,1,1,2,1,1,3,4,5,1,1,3,1,2,2,3,4,4,4,4,3,1,4,4,1,2,4,NA,5,NA,3,2,5,NA,4,NA,4,NA,1,NA,1,2,4,NA,3,2,3,4,2,2,2,3,4,3,2,3,10,1,1,1,1,7,2,5,46,1,2,1,4,3,9,NA,17,1,3,1,3,2,4,6,1,3,3,2,19,4,27
"628",356,1,5,4,33,7,12,5,5,1,1,1,1,1,6,3,3,3,4,30,1,2,3,2,1,2,2,1,1,1,3,3,2,4,4,1,3,2,4,7,6,8,7,5,9,7,1,5,1,6,6,10,6,9,1,2,2,2,3,1,2,4,4,4,4,4,4,4,6,6,6,7,1,6,6,6,7,1,2,5,NA,5,NA,1,1,2,2,1,1,2,2,1,2,2,2,3,NA,2,2,4,4,4,4,4,4,4,4,1,2,2,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,2,3,3,1,4,4,4,4,4,4,4,4,1,4,4,5,NA,4,NA,5,NA,5,NA,5,NA,4,NA,4,NA,1,NA,5,NA,4,NA,5,NA,3,3,3,4,3,5,4,1,2,4,12,0,4,1,1,8,1,4,58,1,2,1,4,3,5,62,12,2,4,1,2,2,3,4,3,2,3,1,19,4,27
"629",358,1,2,2,16,7,12,2,3,2,2,1,1,2,4,4,3,2,4,20,2,1,4,2,2,2,1,2,2,2,4,4,4,3,3,1,2,3,4,7,4,8,7,2,9,7,1,3,1,9,5,10,7,8,8,2,2,4,2,1,2,4,4,4,4,4,4,4,8,4,6,8,1,8,4,6,8,1,2,1,5,1,5,1,2,2,1,1,2,2,2,1,2,2,2,3,NA,4,3,4,4,4,4,4,4,4,4,1,4,3,3,5,5,4,4,3,NA,1,3,1,1,1,1,1,1,2,1,1,3,4,4,2,2,3,1,2,2,2,2,4,2,2,3,1,4,4,1,2,4,NA,5,NA,5,NA,5,NA,4,NA,1,2,1,2,1,2,4,NA,3,2,3,1,4,3,3,5,4,4,1,4,12,0,1,1,1,8,1,6,40,1,2,1,4,3,1,72,15,2,3,2,2,2,4,7,2,3,4,1,19,4,26
"630",359,1,2,2,16,1,10,1,2,2,3,1,1,3,6,4,3,2,4,25,2,1,4,2,2,2,1,2,3,2,4,4,3,3,4,1,2,3,4,6,5,10,9,5,10,7,1,3,1,10,6,9,6,10,1,2,1,3,1,1,NA,4,4,4,4,4,4,4,10,4,6,10,1,10,4,5,10,1,2,1,3,1,3,2,2,1,1,1,1,2,2,1,2,2,2,2,NA,4,4,4,4,4,4,4,4,4,4,2,5,5,4,5,3,5,3,1,1,1,1,1,1,1,1,1,1,2,1,1,4,5,5,1,2,2,1,2,2,3,2,2,4,2,1,1,4,4,1,2,1,2,5,NA,1,2,5,NA,4,NA,1,2,1,NA,1,2,4,NA,5,NA,3,4,2,3,3,3,3,3,2,4,10,1,1,1,1,7,1,5,71,1,2,1,4,3,1,50,12,2,4,1,1,2,4,6,1,3,3,1,19,4,26
"631",361,1,1,1,9,4,10,1,2,2,3,1,1,3,4,4,4,2,4,20,1,1,4,2,2,1,1,2,3,2,4,4,4,3,3,1,2,3,4,6,5,10,9,5,10,7,1,3,1,10,6,9,6,9,1,2,1,3,1,1,2,4,4,4,4,4,4,4,10,4,6,10,1,10,5,6,10,1,2,1,3,1,3,2,2,1,1,1,2,2,2,1,2,2,2,2,NA,3,3,4,4,4,4,4,4,4,4,2,4,4,4,4,3,3,3,NA,NA,1,3,1,1,1,1,1,1,2,1,1,3,5,5,1,2,3,2,2,2,3,2,2,4,2,1,1,4,4,1,2,1,2,5,NA,1,2,5,NA,4,NA,1,2,1,NA,1,2,4,NA,5,NA,3,3,4,4,2,4,4,4,2,3,10,4,1,1,1,7,1,5,32,1,2,1,4,3,11,NA,12,2,4,1,1,2,5,5,1,3,3,2,70,4,26
"632",362,1,2,2,16,1,10,1,3,2,2,1,2,4,5,3,3,2,4,35,2,2,4,2,2,2,1,2,2,2,4,4,4,3,4,1,2,3,4,3,4,10,9,2,10,3,1,5,1,9,5,5,4,8,2,2,1,4,2,1,2,4,4,4,4,4,4,4,9,4,4,10,1,9,4,4,10,1,2,1,3,1,5,2,2,2,1,1,2,2,2,1,2,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,1,4,2,2,5,5,5,4,3,1,1,3,1,1,1,1,1,1,2,1,1,2,4,5,1,2,3,1,4,2,3,4,4,3,4,4,2,4,2,1,2,1,3,1,2,1,2,5,NA,5,NA,5,NA,1,2,1,3,1,3,3,2,3,1,4,3,3,3,4,2,2,4,10,1,1,1,1,7,1,5,29,1,2,1,4,3,11,NA,12,2,5,1,1,2,4,1,1,3,3,2,70,4,27
"633",363,1,3,3,37,1,10,2,3,2,3,1,4,5,3,4,2,2,4,20,1,2,4,2,2,2,1,2,3,3,4,4,4,3,3,1,2,4,3,3,4,10,9,2,10,3,1,5,1,9,5,5,4,8,2,3,1,4,2,1,2,4,2,3,3,4,4,4,9,4,4,10,1,9,4,4,10,1,2,4,NA,1,2,2,2,2,1,1,NA,2,2,2,2,2,2,2,NA,4,4,4,2,4,3,3,4,4,4,1,4,2,2,5,5,5,4,3,1,3,1,3,1,3,3,3,3,2,1,3,2,5,5,1,2,3,2,4,2,3,4,4,3,4,4,2,4,2,1,2,1,3,1,2,1,2,5,NA,5,NA,5,NA,1,2,1,3,1,3,3,2,3,1,4,3,3,3,4,3,1,4,10,1,1,1,1,7,2,5,27,1,2,1,4,3,11,NA,16,2,4,1,1,2,5,5,3,3,3,1,70,4,26
"634",364,1,3,2,9,1,10,3,3,3,2,2,2,3,5,3,3,2,4,20,1,2,3,2,2,2,1,2,2,2,4,4,4,3,3,1,2,4,3,7,6,10,9,4,10,7,1,6,1,9,6,8,6,8,1,2,2,3,2,1,2,4,4,4,4,4,4,4,9,5,8,10,1,9,6,7,10,1,2,1,3,5,NA,1,2,1,1,1,2,2,2,1,2,2,2,3,NA,3,3,4,4,4,4,4,4,4,4,1,3,4,4,5,3,4,2,3,1,1,1,1,1,1,1,1,1,2,1,1,3,4,5,1,1,3,1,2,2,3,4,4,4,4,3,1,4,4,1,2,4,NA,5,NA,3,2,5,NA,4,NA,4,NA,1,NA,1,NA,4,2,3,2,3,4,2,2,2,3,4,3,2,3,10,1,1,1,1,7,1,5,39,1,2,1,4,3,9,NA,15,2,3,1,3,2,5,6,1,3,3,2,70,4,26
"635",365,1,2,2,4,1,3,3,3,2,3,1,1,3,5,3,3,2,4,35,1,2,4,2,2,1,1,2,2,3,4,4,3,3,4,1,2,3,4,7,6,10,9,4,10,7,1,3,1,9,6,8,6,8,1,2,2,3,2,1,2,4,4,4,4,4,4,4,9,5,8,10,1,9,6,8,10,1,2,1,3,1,3,1,2,1,1,1,2,2,2,1,2,2,2,2,NA,3,3,4,4,4,4,4,4,4,4,1,3,4,4,5,3,3,2,3,1,1,3,1,1,1,3,1,1,2,1,1,2,4,5,2,1,3,2,2,2,3,4,4,4,4,3,1,4,4,1,2,4,NA,5,NA,3,2,5,NA,4,NA,4,NA,1,NA,1,2,4,NA,3,2,3,4,3,3,3,3,4,3,1,3,10,1,1,1,1,7,1,5,64,1,2,1,4,3,4,49,12,2,4,1,1,2,5,6,1,3,3,2,70,4,26
"636",366,1,3,2,11,1,10,2,3,2,3,1,4,5,4,4,3,2,4,45,1,2,3,2,2,2,1,2,3,2,4,4,4,3,3,1,2,3,4,7,6,10,9,4,10,7,1,4,1,9,6,9,6,9,1,2,1,3,2,1,2,4,4,4,4,4,4,4,9,4,4,10,1,10,5,6,9,1,2,1,3,1,3,1,2,2,1,1,2,2,2,1,2,2,2,2,NA,3,3,4,4,4,4,4,4,4,4,1,4,2,2,5,5,4,5,3,1,1,1,1,1,1,1,1,1,2,1,1,3,5,5,1,2,3,2,4,2,3,4,4,3,4,4,2,4,2,1,2,1,3,1,2,1,2,5,NA,5,NA,5,NA,1,2,1,3,1,3,3,2,3,3,3,3,3,3,4,2,2,3,10,1,1,1,1,7,1,5,50,1,2,1,4,3,5,62,12,2,4,2,NA,5,5,9,3,3,3,1,70,4,26
"637",367,1,3,3,37,1,3,2,3,2,3,1,5,5,4,4,2,2,4,30,1,2,4,2,2,2,1,2,3,3,4,4,4,2,3,2,1,4,3,3,4,10,9,2,10,3,1,4,4,9,5,5,4,8,2,3,1,4,2,1,2,4,2,3,3,4,4,4,9,2,2,10,1,9,2,2,10,1,2,4,NA,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,NA,4,4,4,2,4,3,3,4,4,4,1,4,2,2,5,5,5,4,3,2,3,1,3,1,3,3,3,3,2,1,3,2,5,5,1,2,3,3,4,2,3,4,4,3,4,4,2,4,2,1,2,1,3,1,2,1,2,5,NA,5,NA,5,NA,1,2,1,3,1,3,3,2,3,1,4,3,3,3,4,5,1,4,3,1,1,1,5,13,2,5,19,1,2,1,4,3,10,NA,12,2,3,2,NA,5,9,4,2,3,3,1,70,4,25
"638",368,1,4,3,9,8,13,3,3,2,2,7,1,1,1,2,2,2,3,50,1,2,4,2,3,1,1,1,1,1,3,2,2,2,3,2,4,3,1,10,10,3,1,8,8,10,2,10,3,3,10,6,10,5,5,4,4,1,2,2,NA,3,4,3,3,4,4,4,1,10,10,1,1,1,10,10,1,1,2,NA,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,4,3,3,3,3,4,4,3,3,4,4,4,4,4,5,5,4,5,5,5,4,NA,3,2,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,4,2,1,1,1,1,3,1,1,1,1,1,2,1,4,1,5,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,1,2,3,2,2,6,2,2,99,0,5,2,4,14,NA,7,68,3,2,1,3,4,4,50,NA,2,3,2,3,5,3,1,3,3,2,1,25,5,3
"639",369,1,4,NA,9,4,NA,4,1,2,4,1,1,1,1,1,3,2,2,50,1,2,4,2,2,1,4,3,1,1,3,3,1,3,2,4,2,3,1,10,10,4,2,9,7,10,1,10,2,2,10,NA,10,6,5,1,1,5,3,2,NA,3,4,3,4,4,4,4,1,10,10,7,5,1,10,10,7,7,2,2,4,2,4,1,1,2,2,2,2,1,1,2,2,1,1,4,3,4,4,3,4,4,3,2,4,4,4,4,4,5,3,2,5,5,5,4,1,1,2,2,1,1,2,1,2,3,1,1,3,3,4,3,3,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,6,1,2,3,2,3,2,2,2,99,0,4,2,2,1,2,4,66,4,1,2,4,3,8,NA,12,NA,2,1,3,1,6,6,1,3,1,2,25,4,26
"640",370,1,3,4,9,5,13,4,5,4,1,7,4,5,7,4,4,4,4,20,2,4,4,2,4,2,4,1,3,4,3,4,3,3,4,4,2,1,3,10,1,1,4,4,5,8,10,7,1,2,3,4,5,9,10,3,2,1,3,4,NA,1,2,3,4,3,3,4,9,8,7,8,10,6,5,4,5,5,2,5,4,4,4,2,2,1,1,1,2,2,1,1,1,2,2,5,3,1,3,3,4,4,3,3,4,4,4,4,4,5,4,3,5,5,5,2,NA,1,1,2,1,1,2,1,2,2,1,1,2,1,3,3,3,2,4,1,2,1,3,1,2,1,2,1,1,1,4,1,4,1,2,1,4,1,5,1,4,1,2,1,4,1,2,1,4,1,4,1,3,1,3,2,4,5,4,6,3,4,15,7,5,2,3,11,4,5,70,NA,4,3,2,1,9,NA,12,2,3,2,5,4,3,4,1,3,2,2,25,4,14
