"","a1","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a32","a33","a34","a35","a36","a37","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a67","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","b6","b7","b8","b9","b10","b11","b12","b13","b14","b16","b17","b19","b20","b21","b23","b24","b26","b27","b28","b29","b30","b31","b32","b33","b35","b37","b38","b40","b41","b42","b44","b46","b47","b48","b51","b52","b55","b56","b64","b65","b66","b67","b68","b69","b70","b71","b72","b73","b74","b75","b76","b77","b79","b81","b83","b85"
"1179",20411,2,2,6,4,4,4,4,1,2,3,4,0,2,NA,4,2,3,4,3,4,3,2,27,1,2,1,1,1,36,3,NA,NA,NA,NA,1,9,1,1,1,5,8,4,10,1,2,4,NA,4,2,4,4,4,3,4,2,2,5,5,3,2,5,5,5,3,2,4,NA,2,3,2,3,1,2,2,4,4,4,5,3,3,3,3,NA,20,2,NA,1,2,15,1,50,3,NA,7,4,1,NA,NA,NA,NA,NA,7,NA,3,7,8,NA,2,63,1,12,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA
"1180",20421,1,1,6,1,1,4,4,2,4,3,3,50,2,NA,4,1,3,3,4,4,4,4,28,3,1,2,4,1,36,2,NA,NA,NA,NA,1,8,1,2,1,7,4,1,9,2,5,4,NA,4,4,4,3,4,4,4,NA,3,5,4,3,3,5,5,1,4,4,5,NA,2,1,2,2,2,2,2,2,5,4,6,4,2,1,1,NA,1,2,NA,1,2,1,2,65,2,NA,5,3,2,1,4,NA,NA,NA,5,NA,5,4,3,NA,1,107,1,12,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,2
"1181",20431,3,2,6,2,4,3,4,3,2,3,3,99,2,NA,3,1,3,4,3,3,3,3,25,1,1,3,4,1,35,3,NA,NA,NA,NA,1,5,1,1,1,7,5,1,6,2,4,4,NA,2,4,3,3,3,4,3,1,2,3,5,3,3,4,4,3,4,1,5,NA,4,1,4,2,2,4,2,2,5,5,4,2,2,2,1,NA,2,3,NA,2,4,21,1,19,3,NA,5,3,2,4,1,NA,NA,NA,12,2,2,6,8,NA,2,83,1,19,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,NA
"1182",20441,1,2,6,1,4,4,4,3,4,4,1,99,2,NA,1,1,4,1,1,4,4,4,29,4,1,3,3,1,36,1,NA,NA,NA,NA,2,10,1,1,1,10,10,5,10,1,1,3,NA,2,4,4,1,4,4,1,2,2,5,5,1,4,5,5,3,4,3,5,NA,2,2,2,2,2,4,2,4,5,6,6,3,3,1,1,NA,1,2,NA,1,2,1,1,30,3,NA,7,3,2,1,4,NA,NA,NA,12,1,1,7,4,NA,1,95,1,19,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA
"1183",20451,2,1,16,2,4,4,4,3,3,4,2,50,NA,NA,3,2,2,3,3,1,3,3,28,1,1,2,2,1,34,2,NA,NA,NA,NA,2,1,1,1,1,1,1,1,10,1,1,4,NA,3,4,4,4,4,3,3,4,1,3,4,3,3,4,2,4,1,3,4,NA,4,1,4,4,2,4,4,4,3,4,2,1,3,1,1,NA,1,3,NA,1,2,1,1,20,2,NA,5,3,4,2,1,NA,NA,NA,12,NA,3,5,7,NA,1,115,1,19,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"1184",20461,1,1,3,2,3,2,2,2,2,4,1,60,2,NA,4,2,2,1,2,2,3,2,29,2,2,3,2,1,34,2,NA,NA,NA,NA,1,10,1,6,1,7,7,4,9,3,3,1,NA,1,4,3,3,4,4,4,2,2,1,5,5,1,1,1,2,3,2,1,NA,2,2,1,2,2,1,3,2,1,3,4,4,4,2,3,NA,14,2,NA,2,4,21,2,19,2,NA,5,3,2,NA,NA,NA,NA,NA,12,2,2,4,6,NA,1,108,1,19,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,2,NA
"1185",20471,1,1,NA,2,3,4,3,2,4,3,3,45,2,NA,3,2,4,3,4,4,3,3,26,3,1,1,4,1,35,2,NA,NA,NA,NA,1,6,1,1,1,6,7,1,5,1,1,1,NA,1,4,3,3,4,3,3,2,2,6,5,4,3,5,5,2,4,2,3,NA,4,2,3,3,2,4,3,2,4,6,6,3,3,2,2,NA,14,2,NA,2,2,14,1,35,NA,NA,5,2,3,1,NA,NA,NA,NA,12,2,5,4,4,NA,2,90,1,19,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA
"1186",20481,2,1,2,2,2,3,3,3,3,3,3,99,1,NA,4,2,3,3,3,3,3,3,29,2,2,2,3,2,35,1,NA,NA,NA,NA,1,5,1,1,1,5,1,1,3,1,1,2,NA,4,4,4,4,4,4,3,2,2,6,2,2,2,2,2,2,3,2,5,NA,4,4,2,2,2,2,2,2,4,5,6,4,3,1,2,NA,14,2,NA,2,2,14,2,58,1,NA,6,3,2,1,4,NA,NA,NA,12,1,3,4,2,NA,1,90,1,19,3,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA
"1187",20491,1,2,5,1,4,4,4,4,4,4,4,99,1,NA,4,2,4,4,4,4,4,4,27,4,1,4,4,1,32,2,NA,NA,NA,NA,1,10,1,1,1,10,1,1,1,1,1,4,NA,4,4,4,4,3,3,3,4,4,5,5,5,4,4,5,5,4,2,5,NA,4,4,4,4,4,4,4,4,2,5,5,3,3,4,1,NA,4,2,NA,1,2,15,1,48,2,NA,6,3,4,NA,NA,NA,NA,NA,12,2,1,5,5,NA,2,117,1,19,3,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA
"1188",20501,1,1,11,2,3,4,3,3,4,3,3,50,1,NA,3,4,4,3,3,2,3,3,26,1,1,1,3,1,35,2,NA,NA,NA,NA,1,5,1,1,1,6,2,1,7,1,1,1,NA,2,4,3,4,4,4,2,2,2,6,4,4,4,5,5,3,3,2,3,NA,2,1,2,4,2,4,4,4,3,5,3,3,2,2,2,NA,14,2,NA,2,2,14,1,21,1,NA,5,2,3,NA,NA,NA,NA,NA,12,1,1,4,6,NA,1,117,1,19,3,8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA
