"","caseid","id_svv_2","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","a90","a91","a92","a93","a94","a95","a96","a97","b6","b7","b11","b13","b15","b17","b19","b21","b23","b25","b26","b27","b28","b29","b30","b31","b32","b33","b34","b35","b36","b37","b38","b39","b40","b41","b42","b43","b44","b45","b46","b47","b48","b49","b50","b51","b52","b53","b54","b55","b56","b57","b58","b59","b60","b61","b62","b63","b64","b66","b67","b69","b70","b71","b72","b73","b75","b78","b81","b84","b87","b89","b91","b93","c6","c9","c12","c15","c18","c21","c24","c27","c28","c29","c30","c31","c32","c33","c34","c36","c38","c40","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c56","c57","c60","c62","c63","c65","c67","c68","c69","c72","c75","c77","c78","c80","c81","c82","c84","c86","c87","c88","c89","c90","c93","c94","day","month","origin","d5","d6","d8","d10","d11","d13","d14","d15","d16","d17","d18","d19","d20","d21","d23","d24","d25","d26","d27","d28","d29","d30","d31","d33","d34","d36","d37","d38","d40","sevev"
"1153",1406,1227,2,3,27,3,3,5,6,3,1,1,2,2,4,2,2,2,1,2,3,4,1,2,2,7,7,2,2,7,1,1,1,1,2,1,2,3,3,2,2,4,2,3,1,4,1,2,3,7,7,9,3,8,8,5,7,4,1,1,NA,8,7,5,9,1,9,1,7,5,6,1,3,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7,3,5,7,10,10,0,2,1,1,2,1,3,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,3,2,1,3,1,2,NA,NA,6,5,1,4,4,5,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,4,3,NA,NA,NA,NA,2,2,8,31,2,1,NA,NA,NA,NA,NA,NA,1,1,17,1,"22",NA,2,3,1,2,1,1,1,360,1,1,20,3,6,1,3,19,3,3,4,2,2,3,5,5,4,5,18,5,4,5,3,5,3,2,NA,31,1,16,1,1,17,4,2
"1154",1407,928,5,4,21,2,3,4,5,6,1,4,2,2,3,1,3,3,1,2,4,3,2,1,3,7,3,3,7,4,4,7,2,1,2,2,2,2,2,1,4,3,2,2,2,2,3,2,4,5,3,8,NA,1,1,1,3,4,1,4,NA,1,3,3,1,1,5,3,3,1,2,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,5,5,5,5,5,0,1,1,3,1,1,1,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,NA,5,NA,2,1,3,1,NA,NA,4,5,1,5,4,5,NA,NA,1,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,3,4,NA,NA,NA,NA,8,3,8,48,2,1,NA,NA,NA,NA,NA,NA,65,65,12,2,"41",2,3,3,4,3,1,1,1,351,1,1,20,3,7,1,99,39,4,2,4,1,2,3,5,5,5,5,17,3,3,3,3,5,3,4,2,48,1,12,1,1,5,4,2
"1155",1408,NA,2,2,20,2,1,6,6,7,1,1,1,2,3,1,2,2,1,3,4,1,2,3,1,7,6,6,6,6,7,7,1,1,2,2,4,4,3,2,3,4,1,1,1,2,2,2,3,3,5,5,3,8,8,4,6,2,6,3,NA,7,7,3,7,6,9,7,4,6,5,5,NA,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,7,5,5,5,9,6,3,1,1,3,3,3,3,3,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,4,1,10,6,2,5,NA,NA,1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,3,4,NA,NA,NA,NA,8,3,8,31,1,1,NA,NA,NA,NA,NA,NA,1,1,16,1,"",NA,1,3,2,2,1,1,1,392,1,1,20,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1156",1409,968,3,3,23,4,5,8,9,8,4,3,3,2,4,2,2,4,1,2,2,1,3,4,5,7,6,6,7,5,7,4,1,1,1,2,4,1,1,1,4,4,4,2,2,3,4,3,3,5,7,6,1,8,7,5,2,8,9,8,NA,7,6,3,6,6,10,7,2,8,7,1,3,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,7,3,8,7,6,9,2,2,1,1,1,1,1,1,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,NA,3,2,2,3,5,NA,NA,NA,3,5,1,2,2,4,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,1,3,NA,NA,NA,NA,8,2,1,49,3,1,NA,NA,NA,NA,NA,NA,66,66,12,2,"Y3",1,5,4,6,4,1,3,1,359,1,1,20,3,8,1,7,54,2,1,4,2,2,4,2,4,5,5,20,4,2,4,4,2,3,3,2,49,1,12,1,1,5,4,2
"1157",1410,936,3,4,1,3,3,4,2,1,4,4,1,4,1,4,4,4,2,1,1,2,4,3,7,7,1,7,7,7,7,2,3,1,3,4,4,1,1,1,1,1,4,2,2,2,3,2,4,7,7,7,1,1,1,9,1,9,9,10,NA,1,1,9,1,10,1,8,5,9,4,2,3,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,8,0,3,10,10,10,0,2,3,2,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,2,1,2,1,2,1,NA,NA,1,1,NA,1,8,5,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,4,1,3,NA,NA,NA,NA,2,2,8,27,4,1,NA,NA,NA,NA,NA,NA,61,61,14,2,"Y6",5,1,3,2,3,1,4,1,218,1,1,20,3,7,1,7,50,2,6,4,1,5,3,5,5,5,4,17,4,5,4,5,3,3,4,2,27,1,14,1,1,5,4,2
"1158",1411,NA,3,2,3,5,3,7,2,9,1,1,1,1,2,1,2,2,1,3,3,1,4,2,2,7,5,1,7,1,7,5,2,1,2,1,2,2,3,2,3,4,2,1,1,4,1,1,2,7,7,7,3,6,10,3,6,3,2,1,NA,6,10,3,4,1,6,2,4,5,4,3,1,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,7,3,5,8,8,9,1,1,1,3,2,1,3,1,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,3,2,1,2,3,2,NA,NA,6,5,1,5,4,4,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,5,2,1,4,3,NA,NA,NA,NA,8,2,1,18,2,1,NA,NA,NA,NA,NA,NA,31,38,12,2,"Y5",3,5,5,5,2,1,1,1,82,1,1,20,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1159",1412,119,3,2,21,4,3,7,3,8,2,3,2,3,3,2,1,2,1,2,4,3,1,2,4,5,5,4,7,4,5,6,2,1,3,2,2,2,2,2,2,3,2,2,1,3,2,2,3,7,8,7,2,7,7,5,7,5,4,4,NA,7,8,5,6,5,6,4,4,4,5,3,1,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,6,4,5,7,10,10,0,1,1,1,2,1,3,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,2,4,NA,4,NA,4,NA,NA,NA,5,2,1,5,2,5,NA,NA,1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,4,3,NA,NA,NA,NA,1,2,1,37,1,16,72,NA,NA,5,2,3,16,16,19,1,"61",2,1,4,4,3,1,1,1,351,1,1,20,3,3,2,NA,10,3,NA,3,2,4,4,4,5,3,5,20,4,3,3,3,2,3,2,1,37,1,19,1,1,30,3,2
"1160",1413,160,5,4,23,3,3,5,5,5,2,1,1,2,3,3,3,1,1,4,3,1,4,2,1,3,7,1,7,1,1,1,1,2,2,1,2,3,2,1,2,4,4,1,1,4,1,4,3,5,5,5,2,5,5,2,4,1,1,1,NA,6,5,5,5,3,NA,1,4,2,4,5,NA,5,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,8,5,6,7,9,9,4,2,1,1,2,1,3,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,4,NA,1,3,5,NA,NA,NA,4,5,NA,6,9,5,NA,NA,1,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,9,2,1,4,3,NA,NA,NA,NA,1,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,25,1,17,1,"",NA,1,NA,2,3,1,1,1,360,1,1,20,3,9,1,99,16,2,1,3,1,2,2,4,5,4,3,18,4,3,4,2,5,3,4,1,60,1,17,1,1,30,3,2
"1161",1414,935,2,2,20,2,2,7,5,8,1,1,1,1,4,3,1,3,1,3,3,4,1,2,3,7,7,2,7,2,3,2,1,2,2,2,2,2,2,2,1,4,2,1,3,2,2,2,3,7,7,8,4,7,5,6,7,5,7,3,NA,6,9,7,4,4,5,5,6,5,6,1,2,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,4,6,5,5,4,6,2,1,3,2,1,1,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,2,2,3,3,1,NA,NA,4,6,1,4,2,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,1,2,NA,NA,NA,NA,2,8,1,43,2,1,NA,NA,NA,NA,NA,NA,2,1,16,1,"05",1,1,4,5,1,1,1,1,82,1,1,20,3,10,1,1,16,4,6,4,2,2,3,2,3,4,5,20,3,3,2,3,2,8,4,1,43,1,16,1,1,5,4,2
"1162",1415,NA,4,4,41,5,5,5,8,3,4,4,1,1,3,4,4,4,2,2,3,2,1,4,1,7,1,7,7,7,1,1,3,2,2,2,4,1,2,1,4,1,4,1,2,2,1,3,3,6,3,7,NA,2,1,1,2,1,1,1,NA,2,1,1,2,1,2,1,2,2,1,3,2,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,6,4,5,8,8,8,2,1,1,1,1,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,3,2,2,1,3,1,NA,NA,2,2,1,5,2,3,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,3,4,2,1,NA,NA,NA,NA,8,3,1,40,3,1,NA,NA,NA,NA,NA,NA,66,66,12,2,"21",2,3,3,2,3,1,2,1,172,1,1,20,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1163",1416,489,3,3,17,4,4,5,5,5,4,4,3,2,4,4,3,4,1,2,3,4,2,1,7,7,1,1,7,2,5,5,1,3,3,4,2,1,1,3,2,3,3,2,2,3,3,2,3,5,5,5,3,1,1,9,1,3,1,1,NA,5,1,6,2,1,3,7,1,4,1,2,3,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,5,5,9,8,9,0,2,1,1,2,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,NA,1,2,2,1,5,NA,NA,NA,7,5,1,6,1,5,NA,NA,1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,4,NA,NA,NA,NA,8,8,1,63,3,1,NA,NA,NA,NA,NA,NA,56,68,12,2,"73",1,3,5,5,2,1,2,1,351,1,1,20,3,8,1,2,70,3,1,4,2,4,4,4,4,4,4,20,3,3,4,2,4,3,2,1,63,1,12,1,1,2,4,2
"1164",1417,942,4,3,33,4,3,1,5,9,4,4,2,4,1,3,3,4,4,4,1,2,4,3,1,1,NA,1,1,1,1,1,NA,1,NA,4,1,1,1,1,4,4,2,2,4,4,4,2,2,9,7,9,1,5,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,5,2,3,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,8,3,2,10,8,7,0,2,1,1,1,1,3,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,1,2,3,2,1,NA,NA,1,4,1,4,2,4,NA,NA,1,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,6,2,4,1,3,NA,NA,NA,NA,2,4,1,23,3,1,NA,NA,NA,NA,NA,NA,1,66,12,2,"Y5",NA,1,5,3,2,1,3,1,82,1,1,20,3,6,1,7,99,4,1,3,2,4,4,5,5,5,2,19,3,4,4,3,3,2,4,2,23,1,12,1,1,5,4,2
"1165",1418,944,3,2,21,1,2,7,5,9,1,1,1,2,4,2,4,2,1,3,4,1,3,2,2,7,7,2,7,3,3,3,1,2,2,1,1,3,3,3,2,4,3,1,1,4,4,3,3,8,7,9,2,8,7,3,4,1,2,2,NA,8,7,2,7,3,8,2,3,2,4,1,3,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,9,4,5,8,9,10,2,1,1,1,2,1,3,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,5,NA,1,2,3,2,NA,NA,4,1,1,3,2,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,4,3,NA,NA,NA,NA,8,3,1,45,2,1,NA,NA,NA,NA,NA,NA,1,1,15,1,"05",3,1,6,5,3,1,1,1,102,1,1,20,3,6,1,1,15,3,3,4,2,4,4,4,4,5,4,19,4,4,2,2,2,3,1,1,45,1,15,1,1,5,4,2
"1166",1419,334,3,3,2,5,2,7,6,6,3,2,1,4,4,3,4,3,2,2,1,3,2,4,7,7,7,6,7,2,7,7,3,2,1,1,2,1,1,3,1,4,3,2,2,2,2,3,2,7,6,6,3,4,3,6,3,8,8,6,NA,4,5,7,6,3,7,5,3,3,3,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,9,1,4,6,9,9,0,2,1,1,3,1,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,NA,1,3,2,1,2,1,NA,NA,1,5,2,5,2,2,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,1,3,4,NA,NA,NA,NA,8,3,1,20,2,1,NA,NA,NA,NA,NA,NA,1,61,12,2,"Y1",3,5,3,4,3,1,2,1,215,1,1,20,3,6,1,5,10,3,1,4,2,5,5,4,4,1,1,15,4,4,4,2,2,3,1,2,19,1,12,1,1,31,3,2
"1167",1420,172,2,2,23,2,2,5,6,6,1,1,1,3,4,4,1,4,1,3,4,1,3,2,5,6,4,4,6,3,4,3,1,3,3,1,4,2,2,1,1,4,2,3,3,3,2,1,3,5,5,5,NA,8,7,3,4,3,3,4,NA,7,5,3,8,4,8,3,4,3,2,1,2,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,8,5,6,5,8,8,2,2,1,1,3,1,3,3,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,1,3,1,3,1,2,NA,NA,4,6,1,6,4,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,3,4,NA,NA,NA,NA,1,2,1,50,3,1,NA,NA,NA,NA,NA,NA,64,64,14,1,"22",1,1,5,5,1,1,2,1,351,1,1,20,3,7,1,1,11,4,2,3,2,5,5,2,4,4,4,16,4,3,4,2,4,3,2,2,50,1,14,1,1,30,3,2
"1168",1421,1046,3,3,43,5,5,6,7,6,1,3,1,2,2,3,4,4,3,2,3,1,2,4,1,7,1,5,7,2,7,5,1,1,2,3,1,2,2,3,4,4,3,4,1,3,3,3,4,6,7,7,NA,1,5,1,1,1,1,1,NA,1,5,2,5,5,10,1,1,1,1,3,1,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,10,5,7,10,10,10,0,2,1,1,2,1,3,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,4,NA,2,NA,5,NA,NA,NA,4,4,1,5,2,5,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,2,2,1,60,2,70,NA,NA,NA,NA,NA,NA,70,70,12,2,"Y3",5,5,3,3,3,1,1,1,359,1,1,20,3,2,1,3,39,4,6,3,2,3,3,4,3,2,5,20,4,4,2,4,3,1,3,1,60,1,12,1,1,6,4,2
"1169",1422,211,3,3,43,4,3,7,4,7,3,3,2,2,2,2,3,3,2,2,4,1,3,2,5,6,4,4,7,6,6,6,2,2,2,3,3,1,1,1,2,3,3,3,2,2,2,2,4,7,5,9,2,5,4,7,5,5,5,5,NA,5,2,7,5,4,5,4,4,3,4,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,8,3,7,6,6,6,3,2,1,2,1,1,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,3,4,1,4,2,4,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,4,NA,NA,NA,NA,1,3,1,NA,1,66,49,NA,NA,NA,NA,NA,66,66,20,1,"08",3,1,5,1,3,1,3,1,45,1,1,20,3,2,1,99,51,4,6,4,1,2,3,4,4,4,3,17,3,4,2,4,3,3,1,2,NA,1,20,1,1,30,3,2
"1170",1423,416,3,2,26,3,2,4,3,7,2,3,1,1,3,2,2,2,1,3,4,3,1,2,1,3,2,1,2,NA,4,3,1,1,2,1,3,3,2,1,2,2,1,3,4,4,4,2,3,4,5,5,3,5,5,5,3,4,3,NA,NA,6,6,8,6,6,6,6,4,5,6,2,3,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,5,3,4,4,3,3,2,3,3,3,1,1,1,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,4,NA,4,NA,4,NA,NA,NA,4,5,1,5,1,1,NA,NA,1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,3,2,1,3,4,NA,NA,NA,NA,1,3,1,60,2,65,48,NA,NA,NA,NA,NA,65,65,12,2,"Y3",3,5,4,5,3,1,1,1,392,1,1,20,3,1,1,99,16,2,1,1,2,3,5,4,3,4,4,16,2,1,4,3,1,3,2,1,60,1,12,1,1,2,4,2
"1171",1424,1195,3,4,17,5,2,9,8,6,4,4,1,4,4,4,3,4,1,2,1,2,4,3,4,4,4,4,4,3,3,3,2,2,2,4,4,1,1,2,1,4,3,4,4,1,3,2,2,6,6,7,2,5,5,3,3,4,5,9,NA,1,2,1,3,8,5,4,5,5,5,2,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,6,6,4,8,4,4,4,2,1,2,1,1,1,1,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,3,5,1,4,2,2,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,2,4,1,3,NA,NA,NA,NA,1,2,1,51,3,1,NA,NA,NA,NA,NA,NA,63,63,12,2,"",3,1,4,3,3,1,3,1,392,1,1,20,3,7,1,5,50,3,6,3,2,3,5,5,5,4,3,19,5,2,2,2,5,3,2,1,51,1,12,1,1,10,4,2
"1172",1427,369,5,4,6,5,5,1,1,1,4,4,1,4,1,4,4,4,2,1,2,1,3,4,7,7,4,6,7,7,7,6,3,1,3,4,1,1,1,1,3,1,4,4,1,1,4,2,4,9,9,9,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,0,0,0,0,0,0,0,2,1,1,1,1,3,1,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,1,1,10,1,8,5,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,4,3,1,NA,NA,NA,NA,8,8,1,59,4,2,NA,NA,NA,NA,NA,NA,25,25,16,1,"17",5,3,4,8,4,1,4,1,68,1,1,20,3,4,1,14,50,4,6,4,1,5,5,5,5,5,1,15,1,4,4,2,NA,1,3,NA,59,1,16,1,1,31,3,2
"1173",1428,NA,4,4,27,1,3,2,2,2,2,4,1,4,4,4,1,3,1,2,1,4,3,2,2,7,6,6,7,3,2,1,1,1,3,2,1,1,3,2,1,2,2,3,2,3,3,1,4,5,5,6,1,1,5,5,5,2,2,1,NA,1,5,5,1,1,5,2,1,1,2,2,3,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,4,9,9,9,0,1,1,2,2,1,1,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,2,1,2,1,5,NA,NA,NA,4,1,2,5,4,3,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,4,2,1,4,3,NA,NA,NA,NA,1,3,1,53,2,1,NA,NA,NA,NA,NA,NA,66,66,12,2,"91",3,1,7,5,3,1,1,1,360,1,1,20,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1174",1429,1239,5,4,23,4,3,6,5,6,4,4,2,4,2,4,4,4,2,2,1,4,3,2,7,5,2,7,7,7,2,3,3,1,3,4,4,1,1,1,3,3,3,2,2,1,3,3,3,7,6,6,3,5,6,5,6,5,6,9,NA,6,4,3,4,9,7,6,7,6,7,2,1,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,8,6,7,9,7,6,2,2,1,1,1,1,3,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,1,3,1,4,NA,4,NA,NA,NA,2,1,10,1,8,5,NA,NA,1,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,2,2,1,4,3,NA,NA,NA,NA,1,2,1,50,4,61,NA,NA,NA,NA,NA,NA,61,61,18,2,"16",3,2,5,5,3,1,4,1,189,1,1,20,3,1,1,99,99,2,1,4,2,1,2,4,5,5,3,19,4,3,4,2,5,3,4,1,50,1,18,1,1,16,4,2
"1175",1430,559,4,4,26,4,3,5,6,5,4,3,1,4,4,4,4,4,2,2,1,4,2,3,7,5,6,6,6,7,4,2,3,1,3,4,4,1,1,1,3,3,3,2,2,1,2,1,3,7,6,6,3,1,5,3,1,7,1,7,NA,1,5,3,1,5,7,1,4,3,4,3,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,4,2,5,7,8,1,2,1,3,1,1,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,NA,3,1,3,1,3,1,NA,NA,3,1,3,1,2,5,NA,NA,1,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,2,2,1,3,4,NA,NA,NA,NA,1,3,1,40,3,1,NA,NA,NA,NA,NA,NA,1,1,12,2,"49",3,2,5,7,1,1,4,1,189,1,1,20,3,6,1,99,41,4,4,4,1,5,3,5,4,3,3,15,5,2,4,1,5,3,4,2,40,1,14,1,1,2,4,2
